start,speaker,,text
106.603,3,I still remember the feeling of first listening to beginning of Infinity four years ago.,Я до сих пор помню чувство первого слушания начала бесконечности четыре года назад.
112.432,3,Each chapter was like an explosion in my brain.,Каждая глава была как взрыв в моем мозгу.
116.254,3,"Let's just say your work has changed my mind about knowledge, reality, how I treat my children, and what a human is.","Скажем так, ваша работа изменила мое мнение о знаниях, реальности, о том, как я относится к своим детям и что такое человек."
124.989,3,"I've been on here with Bruce about 50 episodes listening and talking about the four strands of reality and related ideas,","Я был здесь с Брюсом около пятидесяти эпизодов, слушая и рассказывая о четырех прядях реальности и связанных с ними идей."
132.759,3,and I only wish I had until the heat death of the universe to keep wrestling with these ideas you have introduced me to.,"И я только хотел бы, чтобы у меня было до тех пор, пока тепло смерти вселенной продолжала бороться с этими идеями, с которыми вы меня познакомили."
139.595,3,"So thank you, David.","Так что спасибо, Дэвид."
141.701,1,Thank you so much.,Большое спасибо.
142.823,1,And I wanted to say the same thing.,И я хотел сказать то же самое.
144.607,1,"I, I really, I read your first, first book, fabric of reality before beginning of Infinity came out.",Я действительно прочитал вашу первую первую книгу о хаосе реальности до начала бесконечности.
150.037,1,So I'm one of the early adopters of old school.,Так что я один из первых последователей старой школы.
153.965,1,"Yes, since most people seem to have introduced through beginning of Infinity.","Да, так как большинство людей, похоже, были представлены в начале бесконечности."
157.827,1,But I had a… I've mentioned this story from on the podcast elsewhere.,Я упомянул эту историю на подкасте в другом месте.
162.47,1,We had an episode where Lily was on and she asked me about it,"У нас был эпизод, в котором была Лули, и она спросила меня об этом."
165.852,1,"but I was a religious Blogger and I had a religious blogging friend, he introduced the fabric of reality to me and I loved it.","Но я был религиозным блоггером, и у меня был религиозный друг -блог, представляющий мне ткань реальности, и мне это понравилось."
173.337,1,I Started to explore a lot of the ideas into it ,начал исследовать многие идеи в это.
175.761,1,and that's what eventually led to the idea of having a podcast “theory of anything” where we could kind of start with Papa Deutsch and kind of explore out from there.,"И это то, что в конечном итоге привело к идее теории подкастов чего -либо, где мы могли бы начать с Papa Deutsch, и мы как бы исследовали оттуда."
183.134,1,"I even ended up going back to school,","Я даже закончил тем, что вернулся в школу"
186.119,1,ended up studying computer science but go back to school based on the interest that came out of the follow up to your book as I was trying to explore other books and other related ideas.,"В итоге изучил информатику, но возвращался в школу, исходя из интереса, которые вышли из последующей работы с вашей книгой, когда я пытался исследовать другие книги и другие связанные идеи."
196.763,2,Great to hear.,Приятно слышать.
199.209,2,"Yeah, thanks.","Да, спасибо."
200.51,3,"OK, so one thing that's always struck me about your work is how much continuity there is. ","Итак, одна вещь, которая всегда поражала меня о вашей работе, это то, сколько преемственности."
208.317,3,in Fabric of reality or even articles you wrote much before.,"В «Ткань реальности» или даже статьи, которые вы написали много раньше, кажется, что в начале бесконечности, на начале бесконечности, в начале бесконечности."
217.552,3,,"Размышление о человеческой универсальности, оптимизме, прогрессе, росте знаний, объяснений и так далее."
225.263,3,"Obviously you were changing and growing just like any of us. But I do wonder, 
","Очевидно, вы меняете и растет, как и любой из нас, но мне интересно"
231.371,3,would you say your basic worldview formed when you were younger?,"Вы бы сказали, что ваше основное мировоззрение сформировалось, когда вы были моложе?"
236.178,3,Was it from reading Popper?,Это было от чтения Поппера?
237.479,3,,"Или был подросток Дэвид Дойч, скажем, в пессимистическую постмодернистскую философию, которая думала, что проблемы не растворимы, а люди - космическая мрака?"
249.305,2,,"Если да, то что изменило вас?"
252.144,2,,"Что ж, Поппер был тем, что было море в моем мировоззрении, так что до Поппера не было то, что я был."
260.405,2,,иррациональный и пессимистичный и все такое.
264.367,2,,До Поппера я интересовался физикой.
270.051,2,,"После прочтения Поппера,"
273.594,2,,"Я понял, что вы можете понимать физику без понимания, например, эпистемологии."
281.878,2,,Потому что в преобладающих взглядах о физике в частности квантовой теории.
289.455,2,,но и другие ветви физики.
293.1,2,,"Существуют просто плохие эпистемологические теории, встроенные в теории физики, которые являются спицами в колесах и предотвращают прогресс."
303.797,2,,"Итак, я заинтересовался эпистемологией, чтобы разобраться"
313.823,2,,"Logjam in Physics или попытаться разобраться в Logjam, и это немного похоже на то, что вы знаете, кто -то пытается написать свой отличный роман"
323.479,2,,"И есть утечка в крыше, и она капает, она капает на страницу, и вы не можете продолжить писать, пока не исправят утечку."
332.779,2,,"Поэтому я попытался исправить утечку, а потом увидел, что есть целая куча других вещей, и это связано с тем, о чем я пишу."
341.502,3,,Вот как я заинтересовался этими другими вещами.
346.482,2,,"И вы бы сказали, что ваши философские интересы вы в эпистемологии и критическом рационализме повлияли на вашу работу в качестве физика?"
357.361,2,,"Да, хотя."
359.915,2,,"Причинно, я думаю, что это наоборот."
361.901,2,,"Я имею в виду, что я пытался решить некоторые проблемы в физике."
367.416,2,,"Подобно пониманию оснований квантовой теории, соединение теории измерения с основной структурой физики."
382.296,2,,Следуя Эверетту в этом отношении.
385.441,2,,"И поэтому движущей силой, изначально движущей силой была физика."
390.848,2,,Но я заинтересовался этими другими вещами сами по себе.
395.331,2,,"Я имею в виду, конечно, я читаю эгоистичный ген Докинса."
400.609,2,,"И, как и многие другие люди, это просто изменило направление моего мышления."
410.836,2,,"Затем увидел связи, затем я сами заинтересовался связями, поэтому я написал реальность Fabrica."
418.911,2,,"Я видел, что все эти вещи, которые я пытался понять, на самом деле связаны друг с другом, и что люди совершают ошибку, скажем, эволюция."
433.414,2,,"И оказывается, что причина, по которой они совершают эту ошибку, заключается в том, что они совершают ошибку в эпистемологии."
440.944,2,,"И из этих четырех пряди, которые они не четыре нити."
448.746,2,,"Из вселенной это всего лишь четыре нити знаний, которые мы имеем, что у нас есть много понимания об этих четырех прядях, все связаны, и они все они имеют."
462.182,2,,"Характерные ошибки в них, которые должны быть исправлены, и они вроде одинаковой ошибки, и это также привлекла меня к тому, чтобы думать об этом."
476.892,2,,"Потому что я, как это говорит в начале ткани реальности, я думаю."
483.4,2,,"Все эти четыре нити имеют общее, что в некотором смысле принимается как преобладающая идея и в другом смысле."
492.697,1,,"презрительно отвергайте его как фундаментальную идею, одновременно."
499.284,1,,Я просто просто читал это в ткани реальности.
501.306,1,,"Это именно то, что вы сказали."
502.608,2,,"Я думал, что это действительно интересно."
505.171,2,,"Да, и я думаю, что это все еще так, хотя вы знаете, что я пытался оттолкнуть это, и я пересмотрел Броновски «Восхождение человека»"
515.942,2,,"В шестой раз, и я увидел, что это то, что он пытался сделать так же хорошо, он такой же, как тот парень, которого вы знаете, что этот мем -мультфильм, где этот человек говорит, да, вы все не правы, а затем там есть ряды."
530.962,3,,"Из людей в мультфильме, как и все безликие одинаковые, и этот парень говорит, что да, вы все не правы, вот как я вижу Бруновский."
541.536,3,,"Если бы я сказал, вставить одну вещь о Бернофски, восхождение человека, я недавно прочитал книгу и"
549.386,3,,"Я получил гораздо больше, я думаю, что документальный фильм немного медленный для современной аудитории, может быть, я не был на самом деле, как увлекаться тем, что он пытался передать, но когда я читал книгу, это было просто."
563.05,3,,"Вероятно, одна из лучших научных книг, которые я когда -либо читал в своей жизни."
565.732,2,,И теперь я хочу вернуться и пересмотреть документ.
568.574,2,,Я согласен.
569.034,2,,"Я имею в виду, я думаю, что он медленная доставка."
571.335,2,,Мне это очень нравится.
572.136,2,,"Может быть, это, вы знаете, старый или что -то в этом роде."
573.957,2,,"Я думаю, что его не так много людей."
577.279,2,,"Может дать объяснение и сделать паузу для размышлений и не потерять аудиторию, по крайней мере, не потерять меня."
589.821,2,,"Думаю, я просто, вы знаете, он делает паузу в тот момент, когда я тоже хочу думать."
595.51,2,,Я понимаю.
597.294,2,,"И я не знаю никого, кто может это сделать."
599.257,3,,"Я, конечно, не могу этого сделать."
601.681,3,,"Может быть, это только когда вы были более акклиматизированы к современному стилю документального фильма или фильма, да, да, да."
608.484,2,,"Но я имею в виду, что даже вернуться и посмотреть некоторые вещи с пятидесятых годов, это просто, это требует больше усилий."
614.626,3,,"Двойная скорость, верно?"
617.984,3,,"Ну, во всяком случае, давайте просто рассмотрим эти вопросы, если это нормально."
621.49,3,,"Как я уже сказал, основываясь на разных вещах, с которыми мы с Брюсом боролись на шоу, ну, для меня, для меня, пятьдесят эпизодов и Брюса за последние сто эпизодов."
632.608,3,,"Давайте перейдем к свободной воле, если все в порядке."
635.815,3,,"Раньше я был тем парнем, который увлекался Сэмом Харрисом и читал его книгу о свободной воле."
643.595,3,,"Рассказывая людям на вечеринках, что нет свободной воли и вещей, но я немного поправил свое мысли об этом."
652.984,3,,"Хоппериан Дональд Кэмпбелл, кто, конечно, вы знаете, я уверен, предложил идею нисходящей причинно -следственной связи."
661.095,3,,"Для наших слушателей, нисходящая причинность - это идея, что большие вещи влияют на мелочи, так же как и мелочи влияют на большие вещи."
670.364,3,,"У меня есть цитата здесь, может быть, есть более сложное понимание этого, но это то, что я получаю, по крайней мере, я имею в виду, что это имеет для меня смысл."
680.557,3,,"Таким образом, человеческие умы влияют на квантовый мир, так же, как наоборот."
685.243,3,,У вас есть свой собственный противоречие с редукционизмом в форме атома меди на статуи эксперимента по мысли Уинстона Черчилля.
694.828,3,,"Я уверен, что большинство людей большинство наших слушателей знают об этом."
698.47,2,,Являются ли эти концепции свободного или связаны с тем же или связаны?
702.314,2,,"Я думаю, что они связаны, но я думаю, что попытка понять свободную волю"
711.064,2,,Или много других вещей с точки зрения причинно -следственной связи уже рискует идти по неправильному пути.
718.632,2,,Потому что концепция причинно -следственной связи встроена в это концепция времени.
726.16,2,,"Так что что -то раньше может вызвать что -то позже, но что -то позже не может вызвать что -то раньше."
733.137,2,,"Но я думаю, что это более плодотворно думать с точки зрения объяснения."
741.29,2,,"Потому что, например, мой любимый пример в этом отношении,"
746.359,2,,"Если вы хотите объяснить состояние вселенной в Большом взрыве,"
752.779,2,,"И вы начинаете думать об этом с точки зрения причинности, тогда вы, естественно, скажете, ну, что вызвало большой взрыв?"
761.471,2,,А потом ты пойдешь не так.
762.692,2,,"Вы либо скажете, что это была какая -то более ранняя вселенная, которая вызвала большой взрыв, либо это был Бог или что -то в этом роде."
772.977,2,,И это они хорошо известны.
775.879,3,,мертвые концы.
777.885,2,,Так что это не интересный вопрос.
779.47,2,,Это интересный вопрос.
782.199,2,,Как вы объясните
784.827,2,,"Но вопрос должен быть не то, что вызвало Большой взрыв, но как нам объяснить большой взрыв?"
791.973,2,,Какое объяснение вселенной может сказать нам
796.838,2,,"Каким должен был быть большой взрыв или должно было быть похожим или могло быть, или какой бы ни был правильный способ объяснения."
805.501,2,,"Так,"
810.487,2,,"Точно так же, когда мы хотим объяснить вещи в реальной жизни, мы иногда хотим знать, что их вызвало, но часто это совершенно неинтересно."
824.43,2,,"Атом у медного атома в кончике носа Черчилля - это то, что можно объяснить с точки зрения вещей раньше, но это не атомы раньше."
836.787,2,,"Это интенсивные человеческие намерения, стремление и мораль и тому подобное, но."
845.376,2,,"Не все вроде, если мы хотим объяснить Наполеона."
853.904,2,,"Вы можете спросить, вы знаете, почему он проиграл битву при Ватерлоо?"
860.21,2,,"Если вы думаете с точки зрения причинно -следственной связи, с точки зрения этой концепции, что объяснения должны быть с точки зрения более ранних причин, вы вернетесь к"
869.022,2,,"Детство Наполеона, и вы пытаетесь выкопать факты о том, вы знаете, играл ли он с игрушечными солдатами или тому подобным, тогда как это не объяснение."
883.683,2,,что мы ищем.
884.805,2,,"Я имею в виду, вы знаете, в принципе, может оказаться, что это объяснение, но это не должно быть объяснением."
892.14,2,,Объяснение
893.999,2,,"Скорее всего, больше с точки зрения того, какое объяснение, которое мы хотим для исторических событий."
903.844,2,,"Это будет с точки зрения понимания того, что"
908.306,2,,"Политическая ситуация, в какую военную ситуацию возникла Наполеон, и какую проблему он пытался решить."
917.699,2,,"И почему он думал, что некоторые вещи были решением проблемы."
921.666,2,,"Некоторые из них были некоторыми из них, не было интересной делом, в чем разница между ними."
927.617,3,,"Что похожи среди тех, что и так далее, а не, вы знаете, какие события в его детстве заставили его стать великим диктатором?"
937.49,3,,Отличный ответ.
939.483,3,,Одно продолжение этого о свободной воле.
943.508,3,,"Мне кажется, я должен был вернуться и прочитать раздел, но в «Ткань реальности», я думаю, что вы ссылаетесь"
951.818,3,,Свободная воля для многочисленной интерпретации миров.
956.501,2,,"Я слышал это между тканью реальности и началом бесконечности, вы передумали на это."
962.344,2,,"Да, это правда, да, я немного передумал, я имею в виду, если вы внимательно прочитаете этот отрывок в «Ткань реальности», вы увидите, что я на самом деле не утверждаю"
974.4,2,,что объяснение свободной воли является параллельным вселенным.
980.645,2,,Это скорее негативная вещь.
982.766,2,,"Я хотел показать, что контрфакты могут иметь смысл."
990.262,2,,"Может быть совместимы с законами физики и, таким образом, аргумент, который говорит, что нет свободной воли, потому что контрфактуальные не реальны."
1003.155,2,,"Не работает, потому что на самом деле есть такая вещь, что произошло бы, если бы вы не приняли решение."
1009.245,2,,Интересный.
1010.066,2,,"А именно, это то, что происходит в других вселенных."
1013.482,2,,"Но я думаю, что есть гораздо больше контрфактов, которые не объясняются во многих квантовых теории Вселенных."
1025.257,2,,"Такие, как вы знаете, на что бы это было похоже, если бы квантовой теория не была правдой."
1032.335,2,,"Это контрфакт, который является совершенно значимым, и все же его нельзя выразить как вопрос о других вселенных."
1041.392,2,,"Поскольку вы знаете, что в квантовой теории говорит, что определенные из определенных вселенных существует, но наиболее логически возможные вселенные вообще не существуют, такие как те, где квантовая теория не соответствует действительности."
1055.365,2,,Но это возможно.
1060.029,2,,"Стройте об этом и объясните что -то об этом, и вы знаете, думайте о таких вещах, как «Почему квантовая теория» так, как это так и."
1073.484,2,,"Я не думаю, что это проблема со свободной волей."
1079.647,2,,"К тому времени, когда я стал началом бесконечности и еще больше, я думаю, что"
1087.56,2,,"Проблема с пониманием воли человека и так далее - это не то, что вызвало ее, что вызвало решение."
1104.033,2,,"У нас есть чувство, что мы создаем что -то, мы создаем что -то новое, мы приносим что -то новое в мир."
1111.705,2,,"Другими словами, когда я принимаю решение прийти на подкаст или нет."
1118.171,2,,"Я не хочу думать об этом решении, вызванном состоянием вселенной в Большом взрыве."
1126.158,2,,"или даже по состоянию моего пищеварения, когда я принял решение."
1130.963,2,,"Это умственный процесс, в котором есть причины, в которых причины во мне, и я создал"
1141.365,2,,"Новая вещь, новая вещь, которая была причиной для этого."
1147.091,2,,"Так что это творческий акт, и в творческом акте создается что -то новое, и это то, что не так с детерминированным"
1157.258,2,,"мировоззрение, что это делает вид, что люди не создают новизну."
1166.915,2,,"Итак, когда Эйнштейн"
1170.56,2,,придумал теорию относительности и записал ее.
1175.783,2,,"Анти-свободные воли, люди должны сказать, что это был не Эйнштейн, который вызвал это, это был большой взрыв."
1183.268,2,,"И я думаю, что это неправда."
1188.053,2,,"До Эйнштейна, этого знания не существовало в мире, и мир не был направлен на это."
1199.105,2,,"Эйнштейн ехал, а не мир."
1202.652,2,,"Итак, еще раз, это то, что мы хотим объяснить, почему Эйнштейн"
1210.379,2,,"Изобретать относительность, обнаружить относительность, создавать относительность."
1215.666,2,,"Мы должны говорить о том, какие проблемы он решал, какие проблемы он думал, что решает, какие ошибки он делал."
1226.034,2,,"Кстати, это большая вещь о папе, что, когда он говорит о других мыслителях, он всегда спрашивает, какая проблема они пытались решить?"
1237.006,2,,"И, как он указывает, древние греки, древние философы были не так глупы, как кажется, когда вы просто говорили о их теориях, а не о своих проблемах."
1252.763,2,,"Когда они говорят, что теория мира плавает на большом часе патоки или того, что они думали."
1260.047,2,,"Вопрос не в том, что проблема не в том, почему они придумали эту глупую идею или насколько глупы они придумывают эту идею?"
1268.359,2,,"Это какую проблему они решали, что было решено этой идеей?"
1272.845,2,,"Хм, потому что это также, что приводит к следующей идее и к последовательному улучшению и т. Д., На которую вы знаете, что вы знаете."
1283.067,3,,"подумать, насколько это важно в досократических философах, которые представляют собой прядь, которая вплоть до сегодняшнего дня через Просвещение, научную революцию и так далее."
1295.236,2,,"Так что проблемы действительно способствуют прогрессу и цивилизации больше, чем теории."
1302.806,2,,"На самом деле, мой коллега, Матиас Леонардо,"
1306.912,2,,"сказал мне однажды, и я очень согласен, что концепция проблемы в философии папы"
1314.306,2,,"Это его самый важный вклад в философию, потому что он подразумевает что -то немного отличное от того, что кто -либо до него имел в виду под проблемой."
1324.56,2,,И это очень богатая концепция в его философии.
1329.286,2,,"Таким образом, рост знаний, рост научных знаний начинается с проблемы, не начинается с доказательств."
1338.337,2,,"Это уже думая, что это начинается с доказательств, которые у вас совершенно не по пути."
1345.766,2,,Это начинается с проблемы.
1347.808,1,,"И это заканчивается проблемой, потому что, как только вы решите первую проблему, результатом является новая проблема."
1355.751,1,,Спасибо.
1356.292,1,,Могу я спросить о самой свободной воле?
1358.836,1,,"Очевидно, это очень загруженный термин в сознании людей."
1363.404,1,,"Дуглас Хофштадтер предложил - я не знаю, что согласен с ним по этому поводу, кстати, кстати"
1367.892,1,,"Но он предложил идею использования только этого термина, а не свободной воли, чтобы попытаться избавиться от некоторых багажа, философского багажа, который поставляется с ним."
1376.269,1,,"Я лично обнаружил, что немного трудно сделать, но не могли бы вы прокомментировать это о том, почему вы называете это свободной волей?"
1383.622,1,,"Есть ли другие термины, которые можно использовать, и есть ли у вас что -то?"
1387.388,2,,"Ясно, что это термин, который может означать много разных вещей."
1392.233,2,,"Да, я не хочу зацикливаться на том, что называть вещи."
1397.956,2,,"Я с радостью назову это черной собакой, если кто -то хочет использовать этот термин, если мы не определяем, о чем говорим."
1406.42,2,,о.
1407.202,2,,"Так что я немного подозрительно относится к идее позвонить в свободную волю, воля."
1415.501,2,,"Из -за того, что вы падаете."
1417.264,2,,Я делаю что -то вроде чиха
1427.12,2,,чихание вызвано так называемыми добровольными мышцами на лице и
1438.014,2,,"Вся полость и так далее, и поэтому в некотором смысле я заказываю свое тело чихать."
1446.883,2,,"В другом смысле я бы обычно не назвал бы это упражнением моей свободной воли, даже если это упражнение моей воли, и я мог бы подавить чихание, и я решил не делать этого."
1459.85,2,,"Но это не тогда, когда я с гордостью говорю, что я субъект, у которого есть свободная воля и мой компьютер, это намного умнее меня во многих отношениях не имеет никакой свободной воли."
1472.768,2,,"Это не чихающее поведение, о котором я имею в виду."
1477.292,2,,Это поведение решения.
1480.475,2,,"Это не только выбор между опциями, но и создание нового варианта."
1487.136,2,,"Это то, что компьютер не может сделать."
1489.858,2,,"И это то, что я не делаю, когда чихаю."
1492.38,2,,"Но я делаю это, когда говорю с другими людьми и когда работаю над физикой и чем угодно."
1499.366,3,,Спасибо.
1503.248,3,,Спасибо.
1507.401,3,,"Хорошо, хорошо движется прямо к оптимизму."
1510.393,3,,"Так что это своего рода случайный твит, но ..."
1513.998,3,,Это просто застряло со мной на протяжении многих лет.
1520.748,3,,"Один из моих любимых твитов или хозяев, я думаю, вы сейчас говорите, каждый человек"
1526.333,3,,"Кто вообще функционирует, является рациональным и креативным и способным быть более."
1532.034,3,,"Только крошечное меньшинство не покидают мир немного лучше, чем его нашли."
1537.907,3,,"Мне нравится это утверждение, потому что оно подчеркивает, что так же недостат, как и мы,"
1546.223,3,,Каждый из нас или почти каждый из нас по -своему является чистым позитивным позитивным.
1549.096,3,,Но я тоже борюсь с этим.
1552.999,3,,"Если люди так хороши, откуда все эти страдания?"
1561.104,3,,"Я знаю, что вы очень настроены на мировые мероприятия в Израиле и Украине и"
1569.437,3,,"И другие места, так что вы очень хорошо знакомы с тем, насколько запутался мир."
1576.301,2,,"Разве это не может быть лишь небольшое количество людей, которые покидают мир лучше, чем они нашли его или делают."
1579.624,2,,Куда приходят почти все?
1584.529,2,,"Во -первых, большое спасибо за то, что любили это."
1586.333,3,,"Я не знаю, был ли это пост или твит."
1587.937,2,,Было ли это до или после?
1592.967,2,,"Я думаю, что это было из -за того, что я думаю, вы, возможно, выпили это, но это было пару лет назад, по крайней мере, я думаю."
1593.288,2,,Верно.
1596.693,2,,Так что тогда это был твит.
1598.055,2,,"Я рад, что тебе это понравилось."
1605.567,2,,"Причина, по которой я написал в Твиттере, заключалась в том, что это цитата из введения моего"
1614.452,2,,"Книга Я чуть не сказал предстоящему, но я не знаю, когда она появится, это будет от вступления и."
1623.169,2,,"Что одно из использования Twitter или X - это попробовать идеи и посмотреть, как они отскакивают от людей."
1628.359,2,,"И я подумал, и я не мог."
1636.656,2,,"Я не мог воспроизводить в своем уме, какое влияние это утверждение окажет на людей, которые еще не верили в это."
1651.05,2,,"Не согласился с этим, и результат был довольно хорошим, я имею в виду, что они они не ненавидели это или не ненавидели это или неправильно поняли или что -то в этом роде, но многие люди нравились."
1655.071,2,,"Я уверен, что я не сказал этого, я думаю."
1662.234,2,,"Я хотел бы думать, что это правда, но я не уверен."
1667.697,2,,"Теперь я думаю, что"
1681.975,2,,"Итак, прежде всего, происхождение страданий, если я могу решить проблему зла прямо сейчас, происхождение страданий является сочетанием невежества,"
1693.863,2,,"И анти -рациональные средства, поэтому любой другой не знает ответа или не позволил улучшить свой существующий ответ."
1704.608,2,,"психологическими блоками различных видов, и большинство из них вызваны антирациональными мемами."
1715.277,2,,"Возможно, я должен сказать, психология в целом, но большинство плохих психологии вызвано анти -рациональными средствами."
1722.367,2,,"Я могу просто придерживаться другого наблюдения здесь, чтобы ориентироваться на то, что я говорю."
1729.898,2,,"Когда я впервые поехал в Америку, я отправился в Техас и впервые встретил либертарианцев."
1738.047,2,,"И я был вполне, вы знаете, какое -то время я был с энтузиазмом либертарианца, а затем"
1748.394,2,,"В конце концов я связал его с идеями Поппера, и в любом случае у них был слоган об иммиграции."
1752.939,2,,Лозунг был две руки в одну рот.
1760.469,2,,"Я думал, что это блестящий слоган, потому что это говорит о том, что это."
1763.753,2,,Характерное поведение человека.
1766.095,2,,Это.
1774.525,2,,"Сделайте вещи, чтобы улучшить вещи, чтобы вы знали, что столкнетесь с плоской шиной и хотите сделать"
